,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
41,4096,145.75843073320078,24632,3.0418133130006026,"[20, 8, 16, 3, 13, 2, 15, 6, 18, 7, 17, 5, 14, 1, 11, 0, 12, 4, 19, 9, 21, 10]",5,0.3,4096
42,0,115.03323506933009,100,0.0022172369936015457,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",100,0.4,4096
43,1,127.95276744334218,202,0.04213546199025586,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",100,0.4,4096
44,2,130.40393929623758,304,0.08133831198210828,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 11, 3, 13, 5, 18, 12, 7, 1]",100,0.4,4096
45,4,130.40393929623758,506,0.12782527299714275,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 11, 3, 13, 5, 18, 12, 7, 1]",100,0.4,4096
46,8,130.40393929623758,910,0.18961279798531905,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 11, 3, 13, 5, 18, 12, 7, 1]",100,0.4,4096
47,16,132.83624783530757,1721,0.2812118849833496,"[14, 19, 8, 0, 16, 10, 20, 9, 21, 6, 17, 4, 13, 5, 18, 12, 3, 15, 1, 7, 11, 2]",100,0.4,4096
48,32,137.17589152525846,3340,0.43319056998007,"[14, 21, 8, 0, 16, 10, 20, 9, 19, 6, 17, 5, 13, 4, 18, 12, 3, 15, 7, 2, 11, 1]",100,0.4,4096
49,64,139.73053882169785,6575,0.7051219079876319,"[14, 0, 10, 21, 16, 8, 20, 9, 19, 6, 17, 5, 13, 4, 18, 12, 3, 15, 7, 1, 11, 2]",100,0.4,4096
50,128,145.4735060090403,13048,1.2167059589992277,"[13, 0, 10, 21, 8, 16, 7, 20, 9, 19, 6, 17, 5, 15, 3, 14, 4, 18, 12, 1, 11, 2]",100,0.4,4096
51,256,147.2614416907297,25988,2.207750376983313,"[13, 0, 10, 21, 9, 20, 8, 19, 7, 17, 6, 16, 5, 15, 3, 14, 4, 18, 11, 1, 12, 2]",100,0.4,4096
52,512,148.33866485135948,51855,4.1672672019922175,"[13, 1, 11, 21, 9, 20, 8, 18, 6, 17, 5, 15, 3, 14, 4, 16, 7, 19, 10, 0, 12, 2]",100,0.4,4096
53,1024,148.33866485135948,103567,8.071104873000877,"[13, 1, 11, 21, 9, 20, 8, 18, 6, 17, 5, 15, 3, 14, 4, 16, 7, 19, 10, 0, 12, 2]",100,0.4,4096
54,2048,148.33866485135948,149320,11.571633377985563,"[13, 1, 11, 21, 9, 20, 8, 18, 6, 17, 5, 15, 3, 14, 4, 16, 7, 19, 10, 0, 12, 2]",100,0.4,4096
55,4096,148.33866485135948,149320,11.571633377985563,"[13, 1, 11, 21, 9, 20, 8, 18, 6, 17, 5, 15, 3, 14, 4, 16, 7, 19, 10, 0, 12, 2]",100,0.4,4096
56,0,115.03323506933009,100,0.002263106987811625,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",100,0.6,4096
57,1,127.95276744334218,202,0.04684516100678593,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",100,0.6,4096
58,2,127.95276744334218,303,0.09122048498829827,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",100,0.6,4096
59,4,131.02647493853922,507,0.1431017389986664,"[4, 8, 17, 5, 16, 9, 21, 6, 18, 7, 0, 11, 20, 2, 15, 19, 10, 1, 13, 3, 14, 12]",100,0.6,4096
60,8,131.1777596113233,912,0.21020865699392743,"[17, 5, 16, 9, 1, 12, 6, 19, 3, 15, 4, 20, 8, 0, 11, 18, 21, 10, 2, 14, 7, 13]",100,0.6,4096
61,16,134.83576879046754,1723,0.3077951470040716,"[17, 5, 16, 9, 18, 12, 6, 19, 3, 15, 4, 7, 20, 8, 21, 10, 0, 14, 2, 11, 1, 13]",100,0.6,4096
