,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
40,64,164.83664200266543,19568,27.58153334801318,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
41,128,164.83664200266543,38832,54.554681967012584,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
42,256,164.83664200266543,77360,108.24163720899378,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
43,512,164.83664200266543,152309,210.7764336350083,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
44,0,129.5135622027953,300,0.0072459639923181385,"[29, 15, 24, 17, 8, 9, 30, 25, 12, 0, 4, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",True,300,0.5,512
45,1,149.21645232777908,602,0.36829613998997957,"[20, 4, 14, 19, 3, 11, 0, 12, 30, 23, 29, 15, 2, 16, 5, 9, 22, 6, 13, 8, 17, 21, 18, 24, 28, 25, 10, 1, 26, 31, 7, 27]",True,300,0.5,512
46,2,154.85619764066433,904,0.7278019730001688,"[19, 25, 15, 21, 8, 11, 20, 2, 29, 30, 13, 28, 26, 18, 4, 27, 3, 0, 12, 1, 14, 31, 5, 16, 10, 23, 6, 22, 9, 24, 17, 7]",True,300,0.5,512
47,4,156.1157875561628,1507,1.4306573760113679,"[14, 2, 31, 28, 24, 20, 25, 11, 16, 3, 17, 30, 5, 15, 1, 8, 21, 9, 27, 13, 22, 12, 4, 19, 0, 10, 18, 7, 23, 29, 26, 6]",True,300,0.5,512
48,8,158.28311626749567,2712,2.8252194410015363,"[27, 16, 3, 28, 4, 20, 21, 5, 18, 7, 22, 14, 23, 12, 17, 6, 19, 25, 31, 9, 2, 26, 11, 1, 15, 0, 13, 8, 24, 29, 10, 30]",True,300,0.5,512
49,16,158.28311626749567,5120,5.608186828991165,"[27, 16, 3, 28, 4, 20, 21, 5, 18, 7, 22, 14, 23, 12, 17, 6, 19, 25, 31, 9, 2, 26, 11, 1, 15, 0, 13, 8, 24, 29, 10, 30]",True,300,0.5,512
50,32,159.1482921484142,9938,11.755993235012284,"[13, 24, 12, 3, 14, 25, 30, 15, 5, 17, 8, 31, 21, 16, 6, 22, 29, 1, 19, 26, 20, 28, 7, 27, 18, 9, 0, 10, 2, 23, 11, 4]",True,300,0.5,512
51,64,159.1482921484142,19570,25.39511928000138,"[13, 24, 12, 3, 14, 25, 30, 15, 5, 17, 8, 31, 21, 16, 6, 22, 29, 1, 19, 26, 20, 28, 7, 27, 18, 9, 0, 10, 2, 23, 11, 4]",True,300,0.5,512
52,128,159.1482921484142,38834,52.343342308013234,"[13, 24, 12, 3, 14, 25, 30, 15, 5, 17, 8, 31, 21, 16, 6, 22, 29, 1, 19, 26, 20, 28, 7, 27, 18, 9, 0, 10, 2, 23, 11, 4]",True,300,0.5,512
